"YEAR","C_ICE_DAYS","C_SUMMER_DAYS","C_MEAN_TEMP","E_RENEWABLES","E_OIL","E_GAS"
1992,10,61,11.1,226465.67,51841,51722
1993,31,63,10.8,238013.43,50724,53559
1994,10,75,11.8,232417.66,48710,48776
1995,21,64,10.4,245421.36,45802,53336
1996,49,45,8.9,242623.3,44433,53701
1997,20,63,10,252056.37,43687,51404
1998,20,65,10.8,251515.26,44522,56440
1999,21,58,10.7,281709.26,45319.14,62524.23
2000,17,71,11.7,278910.66,45692.81,64825.79
2001,15,66,10.6,282838.03,43016.2,62194.46
2002,24,77,11.3,273737.23,42938.79,66710.99
2003,22,102,11,258908.01,51381.22,69219.83
2004,20,54,10.4,279330.75,45225.21,66991.83
2005,25,65,10.2,293448.19,39766.69,55719.96
2006,23,61,10.7,290279.74,42439.96,61681.79
2007,16,84,11.7,322108.54,39855.59,62682.35
2008,8,74,11.4,336910.75,43754.27,51686.13
2009,25,74,11,346113.86,47878.71,56267.51
2010,35,56,9.9,359529.45,46311.51,58494.58
2011,12,77,11.1,338248.49,36764.85,57637.66
2012,19,89,11.3,384933.16,39053.36,61945.86
2013,17,68,10.9,396178.18,37075.92,49827.66
2014,10,60,12,398669.36,41475.35,45265.48
2015,2,78,12.1,393496.49,37174.42,43205.46
2016,13,85,11.5,408473.83,33660.73,40406.99
